domain,DNSFilter,Umbrella,UmbrellaFamily,Cloudflare,CloudflareGateway,CloudflareFamilies,Google,Quad9,NextDNS,Adguard
aedictiect.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aerveo.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
afamedya.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
afcompresors.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
affinity7.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
afokoadventure.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
africimmo.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
agaux.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
agenlama.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aghpl.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
agieshorma.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
agrawalpackersmovers.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
agriculturalventures.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
agroarshan.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
agrotmissa.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aheakeerep.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
ahluniversity.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ahosep.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
ahsappanjur.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aialogisticsltd.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
aideah.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aijdjy.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
aiostory.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
air-o-trip.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
airmaildata.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
airmanselectiontest.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aissas.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ajapro.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ajhmanamlak.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ajisushigrill.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
akarosi.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
akdesignsandprint.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
akhilajay.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
akiba-anime.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
akitaugandasafaris.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
akktis.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
akoagro.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alabamaballdrop.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aladilauto.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alamdarinternational.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alanyacilingirbilal.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alawangroups.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
albatross2018.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aleatemadeg.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
alecicousk.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
alertservicelogin.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alfacars-airport.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alfaeticaret.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
alforcargo.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
algarmen.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
algreno.com,blocked,blocked,blocked,allowed,blocked,allowed,allowed,blocked,blocked,blocked
alhaidarylawfirm.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ali33vn.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aliaksesuar.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aliancerubber.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
alkemepsych.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alliancehomepackers.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
allitlab.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
allmytshirt.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
allnightfm.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
allsearchbd.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alltraders.net,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
almaei-hr.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
almashghal.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
almuqarrabin.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alpatrik.com,blocked,allowed,allowed,allowed,blocked,blocked,allowed,blocked,blocked,allowed
alpinaemlak.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
alqasimtraders.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
alrazi-pharrna.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
altaikawater.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
altifort-smfi.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
altriga.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
altuntuval.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aluboobikes.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
alukorwindowsystems.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
amatormusic.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
amazingdonutco.com,allowed,allowed,allowed,allowed,blocked,blocked,allowed,blocked,blocked,blocked
amazingtodaynotsaidhimherwhathe.com,blocked,allowed,allowed,allowed,blocked,blocked,allowed,blocked,blocked,allowed
amimakingmoneyonline.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aminaelmahdy.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aminshiri.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
amismuseedreux.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
ammucreations.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
ampersandindia.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
amproswata.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
amthucfood.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
anchormarineqroup.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ancientalienartifacts.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
andreasmannegren.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
angeliclady.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
animoderne.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
ankarahurdacim.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ankboot.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
annaviyar.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
anoopkarumanchi.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ansaigon.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
anselton.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
anthonyconsiglio.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
antivirusassists.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
antoinegimenez.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
apbni.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
apenzel.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
apk-downloader.net,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
apkfall.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
apkwallets.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aplaneparts.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aplusserve.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
apotecbay.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
appschip.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aquagroup-in.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
aquatolass.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
arabaresmi.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arbatourism.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arconarchitects.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arcpine.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ardenneweb.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arefhasan.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arhomus.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arinidentalcare.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ariser6.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arkgaterp.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
armgroup101.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
armmonya.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
armosecurity.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aronsecosmetics.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arpersenoa.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
arquiteturasolucao.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
arstudiorental.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
art-du-chef.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
artaghril.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
artizaa.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
artnkrafts.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
asanvisas.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
asdmonthly.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aseanlegaltech.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aseman-co.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ashiyanapackers.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ashleymrc.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ashoria.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
asperformancefrance.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aspire-zone.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aspireautosales.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
assetsoption.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
astacefaim.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
astrologervarun.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atakamul.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atchec.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atelier-ferforge.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atnimanvilla.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atolimited.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atomlines.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atreveteaemprender.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
atrexo.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
attireup.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aulamania.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
aulbros.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
auraokg.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
auroracommunitycare.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aussietv.net,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
austellseafood.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
automationkala.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
autoregressed.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
autorepuestosdml.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
avalonfootwears.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
avcilarexclusive.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
avdigitalconsulting.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
avdimio.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
avendtla.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
averybit.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aviwulandari.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
avmaxvip.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
avocatafangbedji.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
awaisa.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
axasta.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
axletime.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
axpandz.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ayandehit.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
aylaspa.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ayothayathailand.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
ayovisual.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
azaelindia.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
azikus.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
azurein360.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
bachhoatrangia.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
backpage-inc.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
baghyra.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
baihumy.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
bakestories.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
baknasional.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
balanced-yoga.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
balaphonics.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
baliessentialproperties.com,allowed,allowed,allowed,allowed,allowed,allowed,allowed,blocked,blocked,blocked
baml-secure.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
banditbars.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
bangmang888.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
banitex.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
bar-ola.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
barcaacademyistanbul.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
basepresupuestos.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
basicki.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
batdongsanminhmanh.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
bathandbedlinen.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
bayboratek.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
bayhtml.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
bayraktepeetmangal.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
